Date,Time,ModelName,ModelCode,Defects,Result,PoseNumber
06-05-2025 00:00:00,06-05-2025 12:26:55,HONDA350,"20002953-000708-1225-Rev-001",["#C127"],False,12
06-05-2025 00:00:00,06-05-2025 12:26:55,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#C126","#X1"],True,13
06-05-2025 00:00:00,06-05-2025 12:26:56,HONDA350,"20002953-000708-1225-Rev-001",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],True,14
06-05-2025 00:00:00,06-05-2025 12:26:56,HONDA350,"20002953-000708-1225-Rev-001",["#R66","#C16","#L14","#R10","#F10"],False,15
06-05-2025 00:00:00,06-05-2025 12:26:57,HONDA350,"20002953-000708-1225-Rev-001",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],False,16
06-05-2025 00:00:00,06-05-2025 12:26:58,HONDA350,"20002953-000708-1225-Rev-001",["#C17","#C18","#C49","#C34"],True,17
06-05-2025 00:00:00,06-05-2025 12:26:58,HONDA350,"20002953-000708-1225-Rev-001",["#C122","#C102"],False,18
06-05-2025 00:00:00,06-05-2025 12:26:58,HONDA350,"20002953-000708-1225-Rev-001",["#C110","#C149","#F100","#TEMPSENSOR","#RE100","#L101"],False,19
06-05-2025 00:00:00,06-05-2025 12:26:59,HONDA350,"20002953-000708-1225-Rev-001",["#C110","#C149","#C117"],False,20
06-05-2025 00:00:00,06-05-2025 12:34:48,HONDA350,"20002953-000707-1225-Rev-001",["#C127"],True,2
06-05-2025 00:00:00,06-05-2025 12:34:49,HONDA350,"20002953-000707-1225-Rev-001",["#C126","#X1"],True,3
06-05-2025 00:00:00,06-05-2025 12:34:50,HONDA350,"20002953-000707-1225-Rev-001",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],True,4
06-05-2025 00:00:00,06-05-2025 12:34:50,HONDA350,"20002953-000707-1225-Rev-001",["#R66","#C16","#L14","#R10","#F10"],True,5
06-05-2025 00:00:00,06-05-2025 12:34:50,HONDA350,"20002953-000707-1225-Rev-001",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],True,6
06-05-2025 00:00:00,06-05-2025 12:34:51,HONDA350,"20002953-000707-1225-Rev-001",["#C17","#C18","#C49","#C34"],True,7
06-05-2025 00:00:00,06-05-2025 12:34:51,HONDA350,"20002953-000707-1225-Rev-001",["#C122","#C102"],True,8
06-05-2025 00:00:00,06-05-2025 12:34:52,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#F100","#TEMPSENSOR","#RE100","#L101"],True,9
06-05-2025 00:00:00,06-05-2025 12:34:52,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#C117"],False,10
06-05-2025 00:00:00,06-05-2025 12:34:53,HONDA350,"20002953-000708-1225-Rev-001",["#C127"],True,12
06-05-2025 00:00:00,06-05-2025 12:34:53,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#C126","#X1"],True,13
06-05-2025 00:00:00,06-05-2025 12:34:54,HONDA350,"20002953-000708-1225-Rev-001",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],True,14
06-05-2025 00:00:00,06-05-2025 12:34:54,HONDA350,"20002953-000708-1225-Rev-001",["#R66","#C16","#L14","#R10","#F10"],False,15
06-05-2025 00:00:00,06-05-2025 12:34:55,HONDA350,"20002953-000708-1225-Rev-001",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],True,16
06-05-2025 00:00:00,06-05-2025 12:34:55,HONDA350,"20002953-000708-1225-Rev-001",["#C17","#C18","#C49","#C34"],True,17
06-05-2025 00:00:00,06-05-2025 12:34:56,HONDA350,"20002953-000708-1225-Rev-001",["#C122","#C102"],True,18
06-05-2025 00:00:00,06-05-2025 12:34:56,HONDA350,"20002953-000708-1225-Rev-001",["#C110","#C149","#F100","#TEMPSENSOR","#RE100","#L101"],False,19
06-05-2025 00:00:00,06-05-2025 12:34:57,HONDA350,"20002953-000708-1225-Rev-001",["#C110","#C149","#C117"],False,20
06-05-2025 00:00:00,06-05-2025 12:38:32,HONDA350,"20002953-000707-1225-Rev-001",["#C127"],True,2
06-05-2025 00:00:00,06-05-2025 12:38:32,HONDA350,"20002953-000707-1225-Rev-001",["#C126","#X1"],True,3
06-05-2025 00:00:00,06-05-2025 12:38:33,HONDA350,"20002953-000707-1225-Rev-001",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],True,4
06-05-2025 00:00:00,06-05-2025 12:38:34,HONDA350,"20002953-000707-1225-Rev-001",["#R66","#C16","#L14","#R10","#F10"],True,5
06-05-2025 00:00:00,06-05-2025 12:38:34,HONDA350,"20002953-000707-1225-Rev-001",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],True,6
06-05-2025 00:00:00,06-05-2025 12:38:35,HONDA350,"20002953-000707-1225-Rev-001",["#C17","#C18","#C49","#C34"],True,7
06-05-2025 00:00:00,06-05-2025 12:38:35,HONDA350,"20002953-000707-1225-Rev-001",["#C122","#C102"],True,8
06-05-2025 00:00:00,06-05-2025 12:38:35,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#F100","#TEMPSENSOR","#RE100","#L101"],True,9
06-05-2025 00:00:00,06-05-2025 12:38:36,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#C117"],True,10
06-05-2025 00:00:00,06-05-2025 12:38:36,HONDA350,"20002953-000708-1225-Rev-001",["#C127"],True,12
06-05-2025 00:00:00,06-05-2025 12:38:37,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#C126","#X1"],True,13
06-05-2025 00:00:00,06-05-2025 12:38:38,HONDA350,"20002953-000708-1225-Rev-001",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],True,14
06-05-2025 00:00:00,06-05-2025 12:38:38,HONDA350,"20002953-000708-1225-Rev-001",["#R66","#C16","#L14","#R10","#F10"],True,15
06-05-2025 00:00:00,06-05-2025 12:38:38,HONDA350,"20002953-000708-1225-Rev-001",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],True,16
06-05-2025 00:00:00,06-05-2025 12:38:39,HONDA350,"20002953-000708-1225-Rev-001",["#C17","#C18","#C49","#C34"],True,17
06-05-2025 00:00:00,06-05-2025 12:38:39,HONDA350,"20002953-000708-1225-Rev-001",["#C122","#C102"],True,18
06-05-2025 00:00:00,06-05-2025 12:38:40,HONDA350,"20002953-000708-1225-Rev-001",["#C110","#C149","#F100","#TEMPSENSOR","#RE100","#L101"],True,19
06-05-2025 00:00:00,06-05-2025 12:38:40,HONDA350,"20002953-000708-1225-Rev-001",["#C110","#C149","#C117"],True,20
